../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1/
Normalize the input for the first 128 dim with total 167 dim
# Training model ----------------
# Train epoch 0 ----------------
Batch 12000: loss 0.00986, reg: 4.72e-07
Batch 12100: loss 0.00978, reg: 4.72e-07
Batch 12200: loss 0.0097, reg: 4.72e-07
Batch 12300: loss 0.00963, reg: 4.72e-07
Batch 12400: loss 0.00955, reg: 4.72e-07
Batch 12500: loss 0.00948, reg: 4.72e-07
Batch 12600: loss 0.0094, reg: 4.72e-07
Batch 12700: loss 0.00933, reg: 4.72e-07
Batch 12800: loss 0.00926, reg: 4.72e-07
Batch 12900: loss 0.00919, reg: 4.72e-07
Batch 13000: loss 0.00913, reg: 4.73e-07
Batch 13100: loss 0.00906, reg: 4.73e-07
Batch 13200: loss 0.00899, reg: 4.73e-07
Batch 13300: loss 0.00893, reg: 4.73e-07
Batch 13400: loss 0.00886, reg: 4.73e-07
Batch 13500: loss 0.0088, reg: 4.73e-07
Batch 13600: loss 0.00874, reg: 4.73e-07
Batch 13700: loss 0.00867, reg: 4.73e-07
Batch 13800: loss 0.00861, reg: 4.73e-07
Batch 13900: loss 0.00855, reg: 4.73e-07
Batch 14000: loss 0.00849, reg: 4.73e-07
Batch 14100: loss 0.00844, reg: 4.73e-07
Batch 14200: loss 0.00838, reg: 4.73e-07
Batch 14300: loss 0.00832, reg: 4.73e-07
Batch 14400: loss 0.00827, reg: 4.73e-07
Batch 14500: loss 0.00821, reg: 4.74e-07
Batch 14600: loss 0.00816, reg: 4.74e-07
Batch 14700: loss 0.00811, reg: 4.74e-07
Batch 14800: loss 0.00805, reg: 4.74e-07
Batch 14900: loss 0.008, reg: 4.74e-07
Batch 15000: loss 0.00795, reg: 4.74e-07
Batch 15100: loss 0.0079, reg: 4.74e-07
Batch 15200: loss 0.00785, reg: 4.74e-07
Batch 15300: loss 0.0078, reg: 4.74e-07
Batch 15400: loss 0.00775, reg: 4.74e-07
Batch 15500: loss 0.00771, reg: 4.75e-07
Batch 15600: loss 0.00766, reg: 4.75e-07
Batch 15700: loss 0.00761, reg: 4.75e-07
Batch 15800: loss 0.00757, reg: 4.75e-07
Batch 15900: loss 0.00752, reg: 4.75e-07
Batch 16000: loss 0.00747, reg: 4.75e-07
Batch 16100: loss 0.00743, reg: 4.76e-07
Batch 16200: loss 0.00739, reg: 4.76e-07
Batch 16300: loss 0.00734, reg: 4.76e-07
Batch 16400: loss 0.0073, reg: 4.76e-07
Batch 16500: loss 0.00726, reg: 4.76e-07
Batch 16600: loss 0.00722, reg: 4.77e-07
Batch 16700: loss 0.00717, reg: 4.77e-07
Batch 16800: loss 0.00713, reg: 4.77e-07
Batch 16900: loss 0.00709, reg: 4.77e-07
Batch 17000: loss 0.00705, reg: 4.77e-07
Batch 17100: loss 0.00701, reg: 4.77e-07
Batch 17200: loss 0.00697, reg: 4.78e-07
Batch 17300: loss 0.00693, reg: 4.78e-07
Batch 17400: loss 0.00689, reg: 4.78e-07
Batch 17500: loss 0.00686, reg: 4.78e-07
Batch 17600: loss 0.00682, reg: 4.78e-07
Batch 17700: loss 0.00678, reg: 4.78e-07
Batch 17800: loss 0.00675, reg: 4.78e-07
Batch 17900: loss 0.00671, reg: 4.79e-07
Batch 18000: loss 0.00668, reg: 4.79e-07
Batch 18100: loss 0.00664, reg: 4.79e-07
Batch 18200: loss 0.0066, reg: 4.79e-07
Batch 18300: loss 0.00657, reg: 4.79e-07
Batch 18400: loss 0.00654, reg: 4.79e-07
Batch 18500: loss 0.0065, reg: 4.8e-07
Batch 18600: loss 0.00647, reg: 4.8e-07
Batch 18700: loss 0.00644, reg: 4.8e-07
Batch 18800: loss 0.0064, reg: 4.8e-07
Batch 18900: loss 0.00637, reg: 4.8e-07
Batch 19000: loss 0.00634, reg: 4.81e-07
Batch 19100: loss 0.00631, reg: 4.81e-07
Batch 19200: loss 0.00628, reg: 4.81e-07
Batch 19300: loss 0.00625, reg: 4.81e-07
Batch 19400: loss 0.00622, reg: 4.81e-07
Batch 19500: loss 0.00618, reg: 4.82e-07
Batch 19600: loss 0.00615, reg: 4.82e-07
Batch 19700: loss 0.00612, reg: 4.82e-07
Batch 19800: loss 0.00609, reg: 4.82e-07
Batch 19900: loss 0.00607, reg: 4.82e-07
Batch 20000: loss 0.00604, reg: 4.82e-07
Batch 20100: loss 0.00601, reg: 4.82e-07
Batch 20200: loss 0.00598, reg: 4.83e-07
Batch 20300: loss 0.00596, reg: 4.83e-07
Batch 20400: loss 0.00593, reg: 4.83e-07
# Val epoch 0 ----------------
Batch 0: loss 0.000652, reg: 5.24e-07
Epoch 0:train => loss 0.00591, reg: 4.83e-07, pea: 0.00674, r2 -19.0 val => loss 0.000291, reg: 5.24e-07, pea: 0.101, r2 -0.0364 
# Train epoch 1 ----------------
Batch 0: loss 8.74e-05, reg: 5.24e-07
Batch 100: loss 0.000227, reg: 5.24e-07
Batch 200: loss 0.000224, reg: 5.23e-07
Batch 300: loss 0.000245, reg: 5.22e-07
Batch 400: loss 0.000248, reg: 5.22e-07
Batch 500: loss 0.000251, reg: 5.22e-07
Batch 600: loss 0.000244, reg: 5.21e-07
Batch 700: loss 0.000234, reg: 5.21e-07
Batch 800: loss 0.000233, reg: 5.2e-07
Batch 900: loss 0.00026, reg: 5.2e-07
Batch 1000: loss 0.000306, reg: 5.21e-07
Batch 1100: loss 0.000315, reg: 5.22e-07
Batch 1200: loss 0.000319, reg: 5.24e-07
Batch 1300: loss 0.000309, reg: 5.24e-07
Batch 1400: loss 0.000315, reg: 5.25e-07
Batch 1500: loss 0.000314, reg: 5.25e-07
Batch 1600: loss 0.000312, reg: 5.26e-07
Batch 1700: loss 0.000312, reg: 5.26e-07
Batch 1800: loss 0.000316, reg: 5.26e-07
Batch 1900: loss 0.000314, reg: 5.26e-07
Batch 2000: loss 0.000312, reg: 5.26e-07
Batch 2100: loss 0.000311, reg: 5.25e-07
Batch 2200: loss 0.000309, reg: 5.25e-07
Batch 2300: loss 0.000308, reg: 5.25e-07
Batch 2400: loss 0.000308, reg: 5.24e-07
Batch 2500: loss 0.000309, reg: 5.24e-07
Batch 2600: loss 0.000307, reg: 5.23e-07
Batch 2700: loss 0.000306, reg: 5.23e-07
Batch 2800: loss 0.000302, reg: 5.22e-07
Batch 2900: loss 0.000299, reg: 5.22e-07
Batch 3000: loss 0.000297, reg: 5.21e-07
Batch 3100: loss 0.000295, reg: 5.2e-07
Batch 3200: loss 0.000294, reg: 5.2e-07
Batch 3300: loss 0.000292, reg: 5.19e-07
Batch 3400: loss 0.00029, reg: 5.18e-07
Batch 3500: loss 0.000288, reg: 5.17e-07
Batch 3600: loss 0.000287, reg: 5.16e-07
Batch 3700: loss 0.000287, reg: 5.15e-07
Batch 3800: loss 0.000285, reg: 5.14e-07
Batch 3900: loss 0.000285, reg: 5.13e-07
Batch 4000: loss 0.000285, reg: 5.12e-07
Batch 4100: loss 0.000288, reg: 5.11e-07
Batch 4200: loss 0.000288, reg: 5.1e-07
Batch 4300: loss 0.000288, reg: 5.09e-07
Batch 4400: loss 0.000287, reg: 5.08e-07
Batch 4500: loss 0.000286, reg: 5.07e-07
Batch 4600: loss 0.000284, reg: 5.06e-07
Batch 4700: loss 0.000283, reg: 5.05e-07
Batch 4800: loss 0.000281, reg: 5.03e-07
Batch 4900: loss 0.00028, reg: 5.02e-07
