num_hours_pred,add_missing,identifier,num_hidden,num_layers,l2_penalty,pos_cls_ratio,n_mc_smps,,,,test_loss,test_reg_loss,test_acc,test_true_positive,test_auroc,test_aupr,best_model_idx,num_epochs_run
6,True,0512-rnn_baseline-mimic-nh8-nl1-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,8,1,0.0001,1,20,,,,0.0044309069,3.1302E-05,0.6421636616,0.0810564663,0.6380643214,0.558202976,2,6
6,True,0512-rnn_baseline-mimic-nh16-nl2-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,2,1E-05,1,20,,,,0.0048813501,2.88847220471276E-05,0.6338418863,0.0591985428,0.6319384527,0.5333203008,9,13
6,True,0512-rnn_baseline-mimic-nh8-nl2-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,8,2,0.001,1,20,,,,0.0047332827,2.5051814018285E-05,0.6192787795,0,0.6164812537,0.5229970631,5,9
6,True,0512-rnn_baseline-mimic-nh16-nl2-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,2,0.0001,1,20,,,,0.0045376004,2.8820330407548E-05,0.6196255201,0.0009107468,0.6262205333,0.5326416488,15,19
6,True,0512-rnn_baseline-mimic-nh8-nl1-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,8,1,1E-05,1,20,,,,0.0044415461,1.1864E-05,0.6726768377,0.2112932605,0.651054447,0.5846217837,12,16
6,True,0512-rnn_baseline-mimic-nh128-nl2-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,128,2,0.001,1,20,,,,0.0045971462,8.59673161462631E-05,0.6192787795,0,0.6189128865,0.5187251614,6,10
6,True,0512-rnn_baseline-mimic-nh64-nl2-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,64,2,0.0001,1,20,,,,0.0041927822,0.000157471,0.6203190014,0.0027322404,0.6132645735,0.5374068353,7,11
6,True,0512-rnn_baseline-mimic-nh32-nl3-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,32,3,0.0001,1,20,,,,0.0044478395,0.0001706663,0.6210124827,0.0081967213,0.5911371485,0.4819523156,2,6
6,True,0512-rnn_baseline-mimic-nh128-nl3-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,128,3,0.001,1,20,,,,0.0044580798,0.0002429194,0.6192787795,0,0.5943765209,0.4992807611,2,6
6,True,0512-rnn_baseline-mimic-nh64-nl2-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,64,2,0.001,1,20,,,,0.0046357911,5.79851406953206E-05,0.6192787795,0,0.6173025066,0.5242272092,5,9
6,True,0512-rnn_baseline-mimic-nh32-nl3-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,32,3,1E-05,1,20,,,,0.0046576331,4.85634042438373E-05,0.6487517337,0.1366120219,0.6326908642,0.5399356473,9,13
6,True,0512-rnn_baseline-mimic-nh16-nl2-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,2,0.001,1,20,,,,0.0043614751,3.43333198992476E-05,0.6192787795,0,0.6203901729,0.5331555913,2,6
6,True,0512-rnn_baseline-mimic-nh128-nl3-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,128,3,1E-05,1,20,,,,0.0043416961,0.0001455932,0.6192787795,0,0.5727075289,0.4727489756,11,15
