loss,reg_loss,total_num,spearman_corr,r_square,pea,identifier,model_type,lr,keep_prob,reg_constant,num_hidden_units,num_hidden_layers,normalized_state,num_shared_layers,num_sep_layers,all_identifier
0.00032900708439965087,7.098857895471156e-05,272575,0.13134643402176097,0.00273186580773066,0.1441568285226822,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.5,0.01,128,1,1,2,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu128-lr0.0001-reg0.01-kp0.5-n1
0.00033188788640067015,1.5643660162822925e-06,272575,0.06519010935539006,-0.0060002721190661745,0.06621655076742172,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,1.0,0.001,32,3,1,3,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl3-hu32-lr0.01-reg0.001-kp1.0-n1
0.001774889663095274,0.0,272575,0.07204524286436721,-4.379947614001366,0.11133384704589844,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,0.7,0.0,32,2,1,3,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl2-hu32-lr0.01-reg0.0-kp0.7-n1
0.0007441520485933896,8.2871501945192e-06,272575,-0.03936256183129366,-1.2556326541024276,-0.03296864777803421,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,1.0,0.001,16,3,1,1,1,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl3-hu16-lr0.0001-reg0.001-kp1.0-n1
0.00032572644114429235,3.4757368094773256e-09,272575,0.12151986352861065,0.012675978722907488,0.15276210010051727,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.5,1e-05,8,5,1,3,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl5-hu8-lr0.001-reg1e-05-kp0.5-n1
0.0003294946103126297,3.906199708580971e-06,272575,0.08479926207864115,0.0012540999116521512,0.07568155229091644,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,1.0,0.01,32,2,1,2,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl2-hu32-lr0.01-reg0.01-kp1.0-n1
0.0009864976758576058,2.4805173026720695e-08,272575,0.10664190145027523,-1.990217358968508,0.15507861971855164,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,0.9,1e-05,16,1,1,1,4,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu16-lr0.01-reg1e-05-kp0.9-n1
0.0003279117343356171,1.1076179362135008e-05,272575,0.0025181470791537162,0.006052038739721045,0.08230185508728027,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.7,0.001,128,2,1,4,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl2-hu128-lr0.001-reg0.001-kp0.7-n1
0.00032994295441641044,2.6696596933106775e-08,272575,nan,-0.00010490342416513698,-5.119148660526207e-09,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,1.0,0.01,256,5,1,3,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl5-hu256-lr0.01-reg0.01-kp1.0-n1
0.15454920612622058,0.0,272575,0.07517462206250423,-467.46102884699536,0.055351756513118744,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,1.0,0.0,8,2,1,4,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl2-hu8-lr0.001-reg0.0-kp1.0-n1
